rfCode,payerVatID,payerIban,amount,nextDueDate,attempts,paused
RF62766791001061971448458,100000002,GR8315147389775933773498,150.00,2026-04-01,0,false,
RF87761728097242864053671,null,GR8315147389775933773498,100.00,2026-03-01,1,false,
RF47477825597808823069413,1234,GR7734679808311712878942,12.00,2027-03-01,0,false,
RF90292816464297357813434,1234,GR7734679808311712878942,20.33,2026-07-01,0,true,
RF49638719909669639314939,100000002,GR1675756373653230873364,150.00,2026-01-04,0,true,
RF61228017327708214924027,null,GR1675756373653230873364,100.00,2026-02-01,0,false,
RF79520911621539610653345,100000002,GR7040577762946783558889,75.00,2026-01-04,0,false,
RF95869066252355752175523,100000002,GR7040577762946783558889,100.00,2026-02-01,0,false,
RF57921760879909653059274,100000002,GR1442208458766971852722,75.00,2026-02-01,0,true,
RF24192122667071268946160,100000002,GR1442208458766971852722,100.00,2026-02-01,1,false,
RF37773457225455235705553,100000002,GR2145646966741272520228,75.00,2026-02-01,0,true,
RF51002822934529125129635,100000002,GR2145646966741272520228,100.00,2026-02-01,1,false,
RF33549612988607689822769,100000002,GR7002346701546484216179,75.00,2026-02-01,0,true,
RF93266506505805410235330,100000002,GR7002346701546484216179,100.00,2026-02-01,1,false,
