Date,Time,Sender Vat ID,Sender Account IBAN,Transfer Type,Recipient Vat ID,Recipient Fullname,Recipient Bank Code,Recipient Account IBAN,Amount,Status,Sender New Balance,Receiver New Balance,Transfer Details
22-12-2025,13:47:16,1234,GR7734679808311712878942,INTERNAL,21314,acme_inc,TUCGRAAXX,GR1749044394464082555747,20.00,FAILED,1866.50,218.00,The sender provided incorrect details for the InterBank Transaction
22-12-2025,13:48:07,1234,GR7734679808311712878942,INTERNAL,21314,ACME Inc.,TUCGRAAXX,GR1749044394464082555747,20.00,SUCCESS,1846.50,238.00,no message
22-12-2025,13:54:41,1234,GR7734679808311712878942,INTERNAL,21314,ACME Inc.,TUCGRAAXX,GR1749044394464082555747,20.00,SUCCESS,1826.50,258.00,no message
22-12-2025,14:34:33,1234,GR7734679808311712878942,SEPA,Not Provided,MEOW,MEOW MEOW,GR123123123123,20.00,SUCCESS,1804.00,20.00,no message
22-12-2025,14:36:07,1234,GR7734679808311712878942,SEPA,Not Provided,NEOW,MEOW MEOW,GR123123123123123,2.00,SUCCESS,1799.50,2.00,no message
22-12-2025,14:42:10,1234,GR7734679808311712878942,SEPA,Not Provided,MEOW MEOW,NEOW,GR123123123123123,2.00,SUCCESS,1795.00,2.00,no message
22-12-2025,15:22:29,1234,GR7734679808311712878942,SEPA,Not Provided,NEOW,MEOW MEOW,GR123123123123123,2.00,SUCCESS,1790.50,2.00,no message
22-12-2025,16:39:05,1234,GR7734679808311712878942,SEPA,Not Provided,MEOW MEOW,NEOW,GR123123123123123,2.00,SUCCESS,1786.00,2.00,no message
22-12-2025,16:42:54,1234,GR7734679808311712878942,SWIFT,Not Provided,Ching Chang,MEOW123,HK1231231231321,20.00,FAILED,1786.00,0.00,The Swift Transfer got rejected
22-12-2025,16:44:48,1234,GR7734679808311712878942,SWIFT,Not Provided,CHING CHANG,MEOW123,HK123123123123,2.00,FAILED,1786.00,0.00,The Swift Transfer got rejected
22-12-2025,16:45:20,1234,GR7734679808311712878942,SWIFT,Not Provided,CHING CHANG,MADSAD,HK12312312312,2.00,FAILED,1786.00,0.00,The Swift Transfer got rejected
22-12-2025,16:50:33,1234,GR7734679808311712878942,SWIFT,Not Provided,CHING CHANG,SDASA,HK123123213123,2.00,SUCCESS,1781.50,2.00,no message
